Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;1;2;Total;Uruará ;PA;1508159
95 a 99 anos;5;4;Total;Uruará ;PA;1508159
90 a 94 anos;19;26;Total;Uruará ;PA;1508159
85 a 89 anos;68;75;Total;Uruará ;PA;1508159
80 a 84 anos;128;161;Total;Uruará ;PA;1508159
75 a 79 anos;198;292;Total;Uruará ;PA;1508159
70 a 74 anos;318;415;Total;Uruará ;PA;1508159
65 a 69 anos;431;598;Total;Uruará ;PA;1508159
60 a 64 anos;590;842;Total;Uruará ;PA;1508159
55 a 59 anos;848;1007;Total;Uruará ;PA;1508159
50 a 54 anos;913;1180;Total;Uruará ;PA;1508159
45 a 49 anos;1172;1319;Total;Uruará ;PA;1508159
40 a 44 anos;1465;1671;Total;Uruará ;PA;1508159
35 a 39 anos;1696;1778;Total;Uruará ;PA;1508159
30 a 34 anos;1686;1731;Total;Uruará ;PA;1508159
25 a 29 anos;1800;1813;Total;Uruará ;PA;1508159
20 a 24 anos;1807;1918;Total;Uruará ;PA;1508159
15 a 19 anos;1918;2043;Total;Uruará ;PA;1508159
10 a 14 anos;1885;2029;Total;Uruará ;PA;1508159
5 a 9 anos;1881;1961;Total;Uruará ;PA;1508159
0 a 4 anos;1917;1947;Total;Uruará ;PA;1508159
