Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;16;7;Total;Vigia ;PA;1508209
95 a 99 anos;23;11;Total;Vigia ;PA;1508209
90 a 94 anos;59;48;Total;Vigia ;PA;1508209
85 a 89 anos;140;85;Total;Vigia ;PA;1508209
80 a 84 anos;257;217;Total;Vigia ;PA;1508209
75 a 79 anos;422;390;Total;Vigia ;PA;1508209
70 a 74 anos;587;603;Total;Vigia ;PA;1508209
65 a 69 anos;846;835;Total;Vigia ;PA;1508209
60 a 64 anos;969;975;Total;Vigia ;PA;1508209
55 a 59 anos;1110;1148;Total;Vigia ;PA;1508209
50 a 54 anos;1421;1375;Total;Vigia ;PA;1508209
45 a 49 anos;1559;1620;Total;Vigia ;PA;1508209
40 a 44 anos;1924;2039;Total;Vigia ;PA;1508209
35 a 39 anos;2049;2183;Total;Vigia ;PA;1508209
30 a 34 anos;2176;2027;Total;Vigia ;PA;1508209
25 a 29 anos;2055;1964;Total;Vigia ;PA;1508209
20 a 24 anos;1970;2087;Total;Vigia ;PA;1508209
15 a 19 anos;2005;2232;Total;Vigia ;PA;1508209
10 a 14 anos;1951;2134;Total;Vigia ;PA;1508209
5 a 9 anos;1861;1950;Total;Vigia ;PA;1508209
0 a 4 anos;1737;1765;Total;Vigia ;PA;1508209
