Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;2;0;Total;Vitória do Xingu ;PA;1508357
95 a 99 anos;1;6;Total;Vitória do Xingu ;PA;1508357
90 a 94 anos;10;10;Total;Vitória do Xingu ;PA;1508357
85 a 89 anos;22;25;Total;Vitória do Xingu ;PA;1508357
80 a 84 anos;48;46;Total;Vitória do Xingu ;PA;1508357
75 a 79 anos;73;98;Total;Vitória do Xingu ;PA;1508357
70 a 74 anos;122;167;Total;Vitória do Xingu ;PA;1508357
65 a 69 anos;180;196;Total;Vitória do Xingu ;PA;1508357
60 a 64 anos;208;276;Total;Vitória do Xingu ;PA;1508357
55 a 59 anos;306;332;Total;Vitória do Xingu ;PA;1508357
50 a 54 anos;340;415;Total;Vitória do Xingu ;PA;1508357
45 a 49 anos;405;466;Total;Vitória do Xingu ;PA;1508357
40 a 44 anos;598;532;Total;Vitória do Xingu ;PA;1508357
35 a 39 anos;556;599;Total;Vitória do Xingu ;PA;1508357
30 a 34 anos;609;605;Total;Vitória do Xingu ;PA;1508357
25 a 29 anos;626;670;Total;Vitória do Xingu ;PA;1508357
20 a 24 anos;611;676;Total;Vitória do Xingu ;PA;1508357
15 a 19 anos;679;752;Total;Vitória do Xingu ;PA;1508357
10 a 14 anos;752;762;Total;Vitória do Xingu ;PA;1508357
5 a 9 anos;751;759;Total;Vitória do Xingu ;PA;1508357
0 a 4 anos;677;639;Total;Vitória do Xingu ;PA;1508357
