Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;2;4;Total;Xapuri ;AC;1200708
95 a 99 anos;4;3;Total;Xapuri ;AC;1200708
90 a 94 anos;24;18;Total;Xapuri ;AC;1200708
85 a 89 anos;34;25;Total;Xapuri ;AC;1200708
80 a 84 anos;58;65;Total;Xapuri ;AC;1200708
75 a 79 anos;108;129;Total;Xapuri ;AC;1200708
70 a 74 anos;156;180;Total;Xapuri ;AC;1200708
65 a 69 anos;229;252;Total;Xapuri ;AC;1200708
60 a 64 anos;288;347;Total;Xapuri ;AC;1200708
55 a 59 anos;381;413;Total;Xapuri ;AC;1200708
50 a 54 anos;396;468;Total;Xapuri ;AC;1200708
45 a 49 anos;507;550;Total;Xapuri ;AC;1200708
40 a 44 anos;621;634;Total;Xapuri ;AC;1200708
35 a 39 anos;610;657;Total;Xapuri ;AC;1200708
30 a 34 anos;679;697;Total;Xapuri ;AC;1200708
25 a 29 anos;775;777;Total;Xapuri ;AC;1200708
20 a 24 anos;777;776;Total;Xapuri ;AC;1200708
15 a 19 anos;837;919;Total;Xapuri ;AC;1200708
10 a 14 anos;783;832;Total;Xapuri ;AC;1200708
5 a 9 anos;774;851;Total;Xapuri ;AC;1200708
0 a 4 anos;790;813;Total;Xapuri ;AC;1200708
