Lugar;Pessoas;Município;Sigla UF;Código do Município
Mato Grosso;1038;Altamira ;PA;1500602
Maranhão;651;Altamira ;PA;1500602
São Paulo;334;Altamira ;PA;1500602
Goiás;324;Altamira ;PA;1500602
Amapá;303;Altamira ;PA;1500602
Tocantins;234;Altamira ;PA;1500602
Minas Gerais;200;Altamira ;PA;1500602
Paraná;187;Altamira ;PA;1500602
Amazonas;166;Altamira ;PA;1500602
Rio de Janeiro;136;Altamira ;PA;1500602
Exterior;123;Altamira ;PA;1500602
Espírito Santo;110;Altamira ;PA;1500602
Mato Grosso do Sul;94;Altamira ;PA;1500602
Roraima;81;Altamira ;PA;1500602
Santa Catarina;80;Altamira ;PA;1500602
Rondônia;76;Altamira ;PA;1500602
Rio Grande do Norte;76;Altamira ;PA;1500602
Ceará;69;Altamira ;PA;1500602
Piauí;67;Altamira ;PA;1500602
Bahia;58;Altamira ;PA;1500602
Sergipe;54;Altamira ;PA;1500602
Distrito Federal;49;Altamira ;PA;1500602
Paraíba;45;Altamira ;PA;1500602
Pernambuco;43;Altamira ;PA;1500602
Acre;28;Altamira ;PA;1500602
Alagoas;14;Altamira ;PA;1500602
Rio Grande do Sul;11;Altamira ;PA;1500602
Sem declaração;11;Altamira ;PA;1500602
