Lugar;Pessoas;Município;Sigla UF;Código do Município
Maranhão;315;Bragança ;PA;1501709
São Paulo;151;Bragança ;PA;1501709
Ceará;138;Bragança ;PA;1501709
Amapá;125;Bragança ;PA;1501709
Goiás;106;Bragança ;PA;1501709
Tocantins;103;Bragança ;PA;1501709
Santa Catarina;101;Bragança ;PA;1501709
Exterior;92;Bragança ;PA;1501709
Amazonas;80;Bragança ;PA;1501709
Rio de Janeiro;78;Bragança ;PA;1501709
Mato Grosso;41;Bragança ;PA;1501709
Minas Gerais;31;Bragança ;PA;1501709
Mato Grosso do Sul;23;Bragança ;PA;1501709
Paraná;22;Bragança ;PA;1501709
Roraima;21;Bragança ;PA;1501709
Paraíba;21;Bragança ;PA;1501709
Acre;11;Bragança ;PA;1501709
Piauí;10;Bragança ;PA;1501709
Pernambuco;10;Bragança ;PA;1501709
Rondônia;2;Bragança ;PA;1501709
