Lugar;Pessoas;Município;Sigla UF;Código do Município
Maranhão;153;Brasil Novo ;PA;1501725
Ceará;83;Brasil Novo ;PA;1501725
Goiás;53;Brasil Novo ;PA;1501725
Roraima;32;Brasil Novo ;PA;1501725
Bahia;30;Brasil Novo ;PA;1501725
São Paulo;27;Brasil Novo ;PA;1501725
Amapá;16;Brasil Novo ;PA;1501725
Minas Gerais;16;Brasil Novo ;PA;1501725
Amazonas;13;Brasil Novo ;PA;1501725
Espírito Santo;13;Brasil Novo ;PA;1501725
Paraná;9;Brasil Novo ;PA;1501725
Tocantins;8;Brasil Novo ;PA;1501725
Rio Grande do Norte;7;Brasil Novo ;PA;1501725
Piauí;6;Brasil Novo ;PA;1501725
Paraíba;5;Brasil Novo ;PA;1501725
Pernambuco;5;Brasil Novo ;PA;1501725
Distrito Federal;4;Brasil Novo ;PA;1501725
Rio Grande do Sul;3;Brasil Novo ;PA;1501725
