Lugar;Pessoas;Município;Sigla UF;Código do Município
Amazonas;192;Capanema ;PA;1502202
Goiás;187;Capanema ;PA;1502202
São Paulo;182;Capanema ;PA;1502202
Maranhão;121;Capanema ;PA;1502202
Santa Catarina;90;Capanema ;PA;1502202
Amapá;73;Capanema ;PA;1502202
Piauí;71;Capanema ;PA;1502202
Bahia;63;Capanema ;PA;1502202
Tocantins;41;Capanema ;PA;1502202
Exterior;39;Capanema ;PA;1502202
Mato Grosso;34;Capanema ;PA;1502202
Ceará;31;Capanema ;PA;1502202
Pernambuco;22;Capanema ;PA;1502202
Paraíba;20;Capanema ;PA;1502202
Rio Grande do Norte;19;Capanema ;PA;1502202
Distrito Federal;18;Capanema ;PA;1502202
Minas Gerais;11;Capanema ;PA;1502202
Rio de Janeiro;11;Capanema ;PA;1502202
Mato Grosso do Sul;11;Capanema ;PA;1502202
Alagoas;10;Capanema ;PA;1502202
Sergipe;10;Capanema ;PA;1502202
