Lugar;Pessoas;Município;Sigla UF;Código do Município
Exterior;208;Epitaciolândia ;AC;1200252
Rondônia;103;Epitaciolândia ;AC;1200252
Amazonas;44;Epitaciolândia ;AC;1200252
Mato Grosso;26;Epitaciolândia ;AC;1200252
Pará;17;Epitaciolândia ;AC;1200252
Goiás;12;Epitaciolândia ;AC;1200252
Paraná;10;Epitaciolândia ;AC;1200252
Mato Grosso do Sul;10;Epitaciolândia ;AC;1200252
Rio de Janeiro;9;Epitaciolândia ;AC;1200252
Minas Gerais;6;Epitaciolândia ;AC;1200252
Espírito Santo;5;Epitaciolândia ;AC;1200252
Tocantins;4;Epitaciolândia ;AC;1200252
Ceará;1;Epitaciolândia ;AC;1200252
