Lugar;Pessoas;Município;Sigla UF;Código do Município
Santa Catarina;75;Igarapé-Açu ;PA;1503200
Maranhão;37;Igarapé-Açu ;PA;1503200
Piauí;32;Igarapé-Açu ;PA;1503200
Goiás;32;Igarapé-Açu ;PA;1503200
Exterior;24;Igarapé-Açu ;PA;1503200
Ceará;21;Igarapé-Açu ;PA;1503200
Pernambuco;21;Igarapé-Açu ;PA;1503200
Distrito Federal;16;Igarapé-Açu ;PA;1503200
Rio Grande do Norte;14;Igarapé-Açu ;PA;1503200
Mato Grosso;14;Igarapé-Açu ;PA;1503200
Amazonas;12;Igarapé-Açu ;PA;1503200
Rondônia;11;Igarapé-Açu ;PA;1503200
Minas Gerais;7;Igarapé-Açu ;PA;1503200
