Lugar;Pessoas;Município;Sigla UF;Código do Município
Pará;6995;Macapá ;AP;1600303
Exterior;506;Macapá ;AP;1600303
Maranhão;413;Macapá ;AP;1600303
São Paulo;372;Macapá ;AP;1600303
Amazonas;342;Macapá ;AP;1600303
Bahia;286;Macapá ;AP;1600303
Rio de Janeiro;247;Macapá ;AP;1600303
Ceará;219;Macapá ;AP;1600303
Goiás;203;Macapá ;AP;1600303
Santa Catarina;194;Macapá ;AP;1600303
Minas Gerais;171;Macapá ;AP;1600303
Distrito Federal;168;Macapá ;AP;1600303
Rio Grande do Norte;152;Macapá ;AP;1600303
Rio Grande do Sul;132;Macapá ;AP;1600303
Pernambuco;81;Macapá ;AP;1600303
Espírito Santo;66;Macapá ;AP;1600303
Piauí;63;Macapá ;AP;1600303
Roraima;62;Macapá ;AP;1600303
Alagoas;40;Macapá ;AP;1600303
Rondônia;32;Macapá ;AP;1600303
Mato Grosso;25;Macapá ;AP;1600303
Tocantins;21;Macapá ;AP;1600303
