Lugar;Pessoas;Município;Sigla UF;Código do Município
Maranhão;219;Medicilândia ;PA;1504455
Amazonas;100;Medicilândia ;PA;1504455
Amapá;82;Medicilândia ;PA;1504455
Pernambuco;64;Medicilândia ;PA;1504455
Goiás;42;Medicilândia ;PA;1504455
Minas Gerais;39;Medicilândia ;PA;1504455
Bahia;27;Medicilândia ;PA;1504455
Ceará;21;Medicilândia ;PA;1504455
São Paulo;19;Medicilândia ;PA;1504455
Piauí;15;Medicilândia ;PA;1504455
Tocantins;11;Medicilândia ;PA;1504455
Rio Grande do Norte;9;Medicilândia ;PA;1504455
Paraíba;9;Medicilândia ;PA;1504455
Mato Grosso;8;Medicilândia ;PA;1504455
