Lugar;Pessoas;Município;Sigla UF;Código do Município
Pará;277;Pedra Branca do Amapari ;AP;1600154
Maranhão;44;Pedra Branca do Amapari ;AP;1600154
Ceará;29;Pedra Branca do Amapari ;AP;1600154
Rio de Janeiro;13;Pedra Branca do Amapari ;AP;1600154
Exterior;11;Pedra Branca do Amapari ;AP;1600154
Amazonas;6;Pedra Branca do Amapari ;AP;1600154
Piauí;6;Pedra Branca do Amapari ;AP;1600154
Paraíba;6;Pedra Branca do Amapari ;AP;1600154
Minas Gerais;6;Pedra Branca do Amapari ;AP;1600154
Espírito Santo;6;Pedra Branca do Amapari ;AP;1600154
Pernambuco;5;Pedra Branca do Amapari ;AP;1600154
Bahia;5;Pedra Branca do Amapari ;AP;1600154
Mato Grosso do Sul;5;Pedra Branca do Amapari ;AP;1600154
