Lugar;Pessoas;Município;Sigla UF;Código do Município
Rondônia;80;Plácido de Castro ;AC;1200385
Amazonas;76;Plácido de Castro ;AC;1200385
Exterior;45;Plácido de Castro ;AC;1200385
Mato Grosso;28;Plácido de Castro ;AC;1200385
Paraná;19;Plácido de Castro ;AC;1200385
Minas Gerais;16;Plácido de Castro ;AC;1200385
Bahia;10;Plácido de Castro ;AC;1200385
Roraima;9;Plácido de Castro ;AC;1200385
Ceará;9;Plácido de Castro ;AC;1200385
Espírito Santo;9;Plácido de Castro ;AC;1200385
São Paulo;8;Plácido de Castro ;AC;1200385
Pará;7;Plácido de Castro ;AC;1200385
Pernambuco;6;Plácido de Castro ;AC;1200385
Goiás;6;Plácido de Castro ;AC;1200385
