Lugar;Pessoas;Município;Sigla UF;Código do Município
Amazonas;1443;Rio Branco ;AC;1200401
Rondônia;1093;Rio Branco ;AC;1200401
São Paulo;331;Rio Branco ;AC;1200401
Exterior;325;Rio Branco ;AC;1200401
Rio de Janeiro;185;Rio Branco ;AC;1200401
Pará;175;Rio Branco ;AC;1200401
Bahia;168;Rio Branco ;AC;1200401
Paraná;168;Rio Branco ;AC;1200401
Distrito Federal;160;Rio Branco ;AC;1200401
Goiás;150;Rio Branco ;AC;1200401
Mato Grosso do Sul;115;Rio Branco ;AC;1200401
Rio Grande do Sul;99;Rio Branco ;AC;1200401
Mato Grosso;94;Rio Branco ;AC;1200401
Santa Catarina;90;Rio Branco ;AC;1200401
Pernambuco;84;Rio Branco ;AC;1200401
Ceará;78;Rio Branco ;AC;1200401
Minas Gerais;66;Rio Branco ;AC;1200401
Maranhão;54;Rio Branco ;AC;1200401
Rio Grande do Norte;54;Rio Branco ;AC;1200401
Roraima;50;Rio Branco ;AC;1200401
Espírito Santo;32;Rio Branco ;AC;1200401
Paraíba;30;Rio Branco ;AC;1200401
Piauí;21;Rio Branco ;AC;1200401
Tocantins;13;Rio Branco ;AC;1200401
Sergipe;12;Rio Branco ;AC;1200401
Alagoas;11;Rio Branco ;AC;1200401
Sem declaração;10;Rio Branco ;AC;1200401
