Lugar;Pessoas;Município;Sigla UF;Código do Município
Amazonas;133;Salinópolis ;PA;1506203
Ceará;92;Salinópolis ;PA;1506203
Distrito Federal;71;Salinópolis ;PA;1506203
Santa Catarina;62;Salinópolis ;PA;1506203
São Paulo;58;Salinópolis ;PA;1506203
Maranhão;56;Salinópolis ;PA;1506203
Goiás;47;Salinópolis ;PA;1506203
Rio de Janeiro;35;Salinópolis ;PA;1506203
Acre;30;Salinópolis ;PA;1506203
Amapá;29;Salinópolis ;PA;1506203
Minas Gerais;26;Salinópolis ;PA;1506203
Rio Grande do Sul;22;Salinópolis ;PA;1506203
Exterior;22;Salinópolis ;PA;1506203
Pernambuco;12;Salinópolis ;PA;1506203
Piauí;10;Salinópolis ;PA;1506203
Mato Grosso do Sul;10;Salinópolis ;PA;1506203
Roraima;8;Salinópolis ;PA;1506203
