Lugar;Pessoas;Município;Sigla UF;Código do Município
Pará;1706;Santana ;AP;1600600
Rio de Janeiro;114;Santana ;AP;1600600
Ceará;109;Santana ;AP;1600600
Exterior;87;Santana ;AP;1600600
Maranhão;85;Santana ;AP;1600600
São Paulo;54;Santana ;AP;1600600
Distrito Federal;32;Santana ;AP;1600600
Roraima;31;Santana ;AP;1600600
Amazonas;27;Santana ;AP;1600600
Paraná;23;Santana ;AP;1600600
Goiás;21;Santana ;AP;1600600
Acre;17;Santana ;AP;1600600
Tocantins;15;Santana ;AP;1600600
Minas Gerais;11;Santana ;AP;1600600
Mato Grosso;11;Santana ;AP;1600600
Santa Catarina;10;Santana ;AP;1600600
Pernambuco;5;Santana ;AP;1600600
