Lugar;Pessoas;Município;Sigla UF;Código do Município
Maranhão;165;Senador José Porfírio ;PA;1507805
Mato Grosso;134;Senador José Porfírio ;PA;1507805
Amapá;100;Senador José Porfírio ;PA;1507805
Goiás;79;Senador José Porfírio ;PA;1507805
Tocantins;52;Senador José Porfírio ;PA;1507805
Ceará;47;Senador José Porfírio ;PA;1507805
Amazonas;44;Senador José Porfírio ;PA;1507805
Santa Catarina;13;Senador José Porfírio ;PA;1507805
Distrito Federal;12;Senador José Porfírio ;PA;1507805
Sergipe;11;Senador José Porfírio ;PA;1507805
Minas Gerais;11;Senador José Porfírio ;PA;1507805
Piauí;10;Senador José Porfírio ;PA;1507805
São Paulo;9;Senador José Porfírio ;PA;1507805
Paraná;9;Senador José Porfírio ;PA;1507805
Espírito Santo;6;Senador José Porfírio ;PA;1507805
Mato Grosso do Sul;6;Senador José Porfírio ;PA;1507805
Rondônia;3;Senador José Porfírio ;PA;1507805
