Lugar;Pessoas;Município;Sigla UF;Código do Município
Amapá;76;São João de Pirabas ;PA;1507474
Maranhão;35;São João de Pirabas ;PA;1507474
Ceará;34;São João de Pirabas ;PA;1507474
Rondônia;33;São João de Pirabas ;PA;1507474
São Paulo;25;São João de Pirabas ;PA;1507474
Mato Grosso;25;São João de Pirabas ;PA;1507474
Goiás;24;São João de Pirabas ;PA;1507474
Tocantins;22;São João de Pirabas ;PA;1507474
Santa Catarina;16;São João de Pirabas ;PA;1507474
Pernambuco;11;São João de Pirabas ;PA;1507474
Rio Grande do Norte;9;São João de Pirabas ;PA;1507474
Rio Grande do Sul;9;São João de Pirabas ;PA;1507474
Exterior;9;São João de Pirabas ;PA;1507474
Rio de Janeiro;8;São João de Pirabas ;PA;1507474
Paraíba;6;São João de Pirabas ;PA;1507474
Bahia;6;São João de Pirabas ;PA;1507474
