Lugar;Pessoas;Município;Sigla UF;Código do Município
Rio de Janeiro;252;Tefé ;AM;1304203
Rondônia;81;Tefé ;AM;1304203
Pará;73;Tefé ;AM;1304203
Paraná;63;Tefé ;AM;1304203
Exterior;61;Tefé ;AM;1304203
São Paulo;59;Tefé ;AM;1304203
Distrito Federal;46;Tefé ;AM;1304203
Mato Grosso do Sul;44;Tefé ;AM;1304203
Acre;34;Tefé ;AM;1304203
Roraima;34;Tefé ;AM;1304203
Rio Grande do Sul;33;Tefé ;AM;1304203
Pernambuco;25;Tefé ;AM;1304203
Santa Catarina;22;Tefé ;AM;1304203
Minas Gerais;12;Tefé ;AM;1304203
Goiás;11;Tefé ;AM;1304203
Bahia;10;Tefé ;AM;1304203
Tocantins;7;Tefé ;AM;1304203
Ceará;6;Tefé ;AM;1304203
Sem declaração;6;Tefé ;AM;1304203
Paraíba;3;Tefé ;AM;1304203
