Lugar;Pessoas;Município;Sigla UF;Código do Município
Maranhão;283;Uruará ;PA;1508159
Amazonas;138;Uruará ;PA;1508159
Tocantins;120;Uruará ;PA;1508159
Mato Grosso;100;Uruará ;PA;1508159
Rondônia;82;Uruará ;PA;1508159
Goiás;63;Uruará ;PA;1508159
São Paulo;53;Uruará ;PA;1508159
Roraima;40;Uruará ;PA;1508159
Amapá;36;Uruará ;PA;1508159
Piauí;15;Uruará ;PA;1508159
Minas Gerais;15;Uruará ;PA;1508159
Paraíba;13;Uruará ;PA;1508159
Bahia;12;Uruará ;PA;1508159
Rio Grande do Sul;12;Uruará ;PA;1508159
Mato Grosso do Sul;7;Uruará ;PA;1508159
Paraná;6;Uruará ;PA;1508159
