Lugar;Pessoas;Município;Sigla UF;Código do Município
Amapá;132;Vitória do Xingu ;PA;1508357
Maranhão;97;Vitória do Xingu ;PA;1508357
Amazonas;38;Vitória do Xingu ;PA;1508357
Tocantins;36;Vitória do Xingu ;PA;1508357
Piauí;35;Vitória do Xingu ;PA;1508357
Roraima;28;Vitória do Xingu ;PA;1508357
Bahia;28;Vitória do Xingu ;PA;1508357
Goiás;20;Vitória do Xingu ;PA;1508357
São Paulo;15;Vitória do Xingu ;PA;1508357
Exterior;12;Vitória do Xingu ;PA;1508357
Rio de Janeiro;11;Vitória do Xingu ;PA;1508357
Minas Gerais;6;Vitória do Xingu ;PA;1508357
Paraná;6;Vitória do Xingu ;PA;1508357
Mato Grosso do Sul;6;Vitória do Xingu ;PA;1508357
Rondônia;5;Vitória do Xingu ;PA;1508357
Ceará;5;Vitória do Xingu ;PA;1508357
Rio Grande do Norte;5;Vitória do Xingu ;PA;1508357
Pernambuco;5;Vitória do Xingu ;PA;1508357
