system:index,area_ha,class,fonte,nome,territory,.geo
0_0_0,3314146.9761956525,1,sigef,Altamira,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,1149147.1455389285,1,sigef,Juruá-Tefé,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,2045193.4454802687,1,sigef,Macapá,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,1383355.5415759718,1,sigef,Portel,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,1059323.7674068462,1,sigef,Rio Branco-Brasiléia,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,114974.38265443691,1,sigef,Salgado-Bragantino,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_0,1.0054906596261801E7,1,sicar,Altamira,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0,7933803.364115653,1,sicar,Juruá-Tefé,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0,2904959.0188165666,1,sicar,Macapá,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3_0,3785201.304996267,1,sicar,Portel,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4_0,3270437.815712431,1,sicar,Rio Branco-Brasiléia,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5_0,633383.4348678174,1,sicar,Salgado-Bragantino,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_0,5278953.617050742,1,snci,Altamira,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_0,658424.8152831706,1,snci,Juruá-Tefé,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_0,1690390.6031976985,1,snci,Macapá,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3_0,526118.019328754,1,snci,Portel,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_4_0,593163.1676853191,1,snci,Rio Branco-Brasiléia,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_5_0,1711.3253683898847,1,snci,Salgado-Bragantino,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_1_0,2578713.915453179,1,assentamento,Juruá-Tefé,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2_0,500298.4300562312,1,assentamento,Macapá,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_3_0,836221.0930888451,1,assentamento,Portel,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_4_0,1346099.4022695078,1,assentamento,Rio Branco-Brasiléia,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_5_0,123466.37649758697,1,assentamento,Salgado-Bragantino,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_0,1.4359361505787198E7,1,sobreposicao,Altamira,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_1_0,7983000.014501545,1,sobreposicao,Juruá-Tefé,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_2_0,5344330.861260193,1,sobreposicao,Macapá,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_3_0,3843358.222536245,1,sobreposicao,Portel,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_4_0,3432897.4670173633,1,sobreposicao,Rio Branco-Brasiléia,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_5_0,887878.7767954854,1,sobreposicao,Salgado-Bragantino,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_0,2033643.739464106,1,assentamento_federal,Altamira,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_1_0,36351.823445371585,1,assentamento_federal,Juruá-Tefé,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_2_0,500295.569761761,1,assentamento_federal,Macapá,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_3_0,1131161.646047046,1,assentamento_federal,Portel,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_4_0,479331.14586577134,1,assentamento_federal,Rio Branco-Brasiléia,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_5_0,4520.072637969945,1,assentamento_federal,Salgado-Bragantino,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_0,1436323.5154872746,1,assentamento_reconhecimento,Altamira,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1_0,2542363.2510689087,1,assentamento_reconhecimento,Juruá-Tefé,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_3_0,209433.02508276422,1,assentamento_reconhecimento,Portel,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_4_0,867369.817146012,1,assentamento_reconhecimento,Rio Branco-Brasiléia,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_5_0,118946.30385961701,1,assentamento_reconhecimento,Salgado-Bragantino,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_0,880521.6304265882,1,sigef_privado,Altamira,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_1_0,1008722.5505624375,1,sigef_privado,Juruá-Tefé,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_2_0,387730.39137908944,1,sigef_privado,Macapá,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_3_0,1046966.9295263865,1,sigef_privado,Portel,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_4_0,831699.367675647,1,sigef_privado,Rio Branco-Brasiléia,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_5_0,115452.30065433892,1,sigef_privado,Salgado-Bragantino,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_0,2799412.523897664,1,sigef_publico,Altamira,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1_0,142875.1880915057,1,sigef_publico,Juruá-Tefé,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2_0,1706859.5137444872,1,sigef_publico,Macapá,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3_0,686284.7802205558,1,sigef_publico,Portel,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_4_0,269588.47358779126,1,sigef_publico,Rio Branco-Brasiléia,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_0,62424.25209402722,1,snci_privado,Altamira,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_1_0,629275.8049016966,1,snci_privado,Juruá-Tefé,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_2_0,49437.16822647972,1,snci_privado,Macapá,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_3_0,1647.777549383524,1,snci_privado,Portel,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_4_0,258449.73677017505,1,snci_privado,Rio Branco-Brasiléia,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_5_0,1711.3253683898847,1,snci_privado,Salgado-Bragantino,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_0,5212900.033874234,1,snci_publico,Altamira,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_1_0,29149.984998960463,1,snci_publico,Juruá-Tefé,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_2_0,1672432.3978301608,1,snci_publico,Macapá,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_3_0,524470.5096045301,1,snci_publico,Portel,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_4_0,334711.7603672875,1,snci_publico,Rio Branco-Brasiléia,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_2_0,40623.05660323442,1,quilombolas,Macapá,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_3_0,85917.26790317574,1,quilombolas,Portel,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_5_0,3813.9829286500258,1,quilombolas,Salgado-Bragantino,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_0,5616172.333422679,1,uc_federal,Altamira,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_1_0,1330112.3365777996,1,uc_federal,Juruá-Tefé,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_2_0,1804083.9257265409,1,uc_federal,Macapá,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_3_0,526493.2655820535,1,uc_federal,Portel,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_4_0,912763.8022150253,1,uc_federal,Rio Branco-Brasiléia,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_5_0,251301.5118158665,1,uc_federal,Salgado-Bragantino,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_0,1046536.1572553689,1,uc_estadual,Altamira,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_1_0,1362630.426378903,1,uc_estadual,Juruá-Tefé,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_2_0,1149922.144013954,1,uc_estadual,Macapá,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_3_0,22671.74402937684,1,uc_estadual,Portel,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_4_0,35196.89747635393,1,uc_estadual,Rio Branco-Brasiléia,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_5_0,10063.60318917235,1,uc_estadual,Salgado-Bragantino,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_2_0,68596.39534545717,1,uc_municipal,Macapá,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_5_0,132.5501356933601,1,uc_municipal,Salgado-Bragantino,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_0,6981283.655102153,1,sicar_status_0,Altamira,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_1_0,5237794.826083101,1,sicar_status_0,Juruá-Tefé,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_2_0,2232134.094890715,1,sicar_status_0,Macapá,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_3_0,2516577.4331925875,1,sicar_status_0,Portel,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_4_0,2580858.7476003873,1,sicar_status_0,Rio Branco-Brasiléia,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_5_0,262648.5483112549,1,sicar_status_0,Salgado-Bragantino,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_0,94564.27583848847,1,sicar_status_1,Altamira,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_3_0,290879.4406085926,1,sicar_status_1,Portel,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_4_0,14.95299908447271,1,sicar_status_1,Rio Branco-Brasiléia,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_5_0,99965.81347325463,1,sicar_status_1,Salgado-Bragantino,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_0,2583495.1315881903,1,sicar_status_2,Altamira,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_1_0,3265610.966040012,1,sicar_status_2,Juruá-Tefé,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_2_0,426580.5777632679,1,sicar_status_2,Macapá,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_3_0,745850.9796300615,1,sicar_status_2,Portel,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_4_0,363493.1042157325,1,sicar_status_2,Rio Branco-Brasiléia,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_5_0,151600.78142157907,1,sicar_status_2,Salgado-Bragantino,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_0,579167.495826304,1,sicar_status_3,Altamira,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_1_0,542581.8387045806,1,sicar_status_3,Juruá-Tefé,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_2_0,6786.98193336792,1,sicar_status_3,Macapá,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_3_0,668316.3024683006,1,sicar_status_3,Portel,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_4_0,291068.794719513,1,sicar_status_3,Rio Branco-Brasiléia,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_5_0,54624.81583695071,1,sicar_status_3,Salgado-Bragantino,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_0,27630.07785711113,1,sicar_status_4,Altamira,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_1_0,1434.9166503173826,1,sicar_status_4,Juruá-Tefé,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_2_0,26601.960492114416,1,sicar_status_4,Macapá,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_3_0,18010.830238635146,1,sicar_status_4,Portel,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_4_0,292.9442528686524,1,sicar_status_4,Rio Branco-Brasiléia,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_5_0,891.2870539123546,1,sicar_status_4,Salgado-Bragantino,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_4_0,3134.8503268432605,1,sicar_status_5,Rio Branco-Brasiléia,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0_0,612156.5540919565,1,sicar_status_6,Altamira,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_1_0,860509.3797363235,1,sicar_status_6,Juruá-Tefé,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_2_0,265252.0174690698,1,sicar_status_6,Macapá,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_3_0,186937.6344393604,1,sicar_status_6,Portel,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_4_0,222077.64197759167,1,sicar_status_6,Rio Branco-Brasiléia,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_5_0,92162.564925195,1,sicar_status_6,Salgado-Bragantino,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0_0,1582702.7961263193,1,sicar_status_7,Altamira,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_1_0,95995.55918425668,1,sicar_status_7,Juruá-Tefé,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_2_0,148478.41285448038,1,sicar_status_7,Macapá,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_3_0,1445194.5600099212,1,sicar_status_7,Portel,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_4_0,1389188.2421459618,1,sicar_status_7,Rio Branco-Brasiléia,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_5_0,16099.844572039581,1,sicar_status_7,Salgado-Bragantino,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0_0,35430.34178299779,1,sicar_status_8,Altamira,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_2_0,104267.37038992041,1,sicar_status_8,Macapá,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_3_0,1329.1603691101093,1,sicar_status_8,Portel,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_4_0,552.391407635498,1,sicar_status_8,Rio Branco-Brasiléia,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_5_0,489.0754760070857,1,sicar_status_8,Salgado-Bragantino,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0_0,220249.01708359216,1,sicar_status_9,Altamira,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_1_0,391453.4621460078,1,sicar_status_9,Juruá-Tefé,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_2_0,3186.659574389675,1,sicar_status_9,Macapá,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_3_0,452461.789664684,1,sicar_status_9,Portel,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_1_0,249464.3235386556,1,sicar_status_10,Juruá-Tefé,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_2_0,32901.64162047666,1,sicar_status_10,Macapá,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_4_0,2957.140399426369,1,sicar_status_10,Rio Branco-Brasiléia,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_2_0,8390.633796496599,1,sicar_status_11,Macapá,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_1_0,868.7831982910125,1,sicar_status_12,Juruá-Tefé,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_2_0,182066.9952994677,1,sicar_status_12,Macapá,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
