system:index,area_ha,class,class_color,class_name_n1,class_name_n4,nome,territory,year,.geo
0_0_0,2.1097095845019978E7,3,1f8d49,Floresta,Formação Florestal,Altamira,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,174935.46459512302,4,7dc975,Floresta,Formação Savânica,Altamira,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,813977.9006468728,6,007785,Floresta,Floresta Alagável,Altamira,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,1.427634484863281,9,7a5900,Agropecuária,Silvicultura,Altamira,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,23476.79689771098,11,519799,Vegetação Herbácea e Arbustiva,Campo Alagado e Área Pantanosa,Altamira,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,19058.70098608406,12,d6bc74,Vegetação Herbácea e Arbustiva,Formação Campestre,Altamira,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,223466.51788433894,15,edde8e,Agropecuária,Pastagem,Altamira,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,2294.9838067810115,24,d4271e,Área não Vegetada,Área Urbanizada,Altamira,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_8,3475.3780326415786,25,db4d4f,Área não Vegetada,Outras Áreas não Vegetadas,Altamira,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_9,18211.262766082724,29,ffaa5f,Vegetação Herbácea e Arbustiva,Afloramento Rochoso,Altamira,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_10,213.7109210449212,30,9c0027,Área não Vegetada,Mineração,Altamira,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_11,242830.54741479643,33,2532e4,Corpo D'água,"Rio, Lago e Oceano",Altamira,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_12,0.6246761474609375,35,9065d0,Agropecuária,Dendê,Altamira,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_13,136.76800087890624,41,f54ca9,Agropecuária,Outras Lavouras Temporárias,Altamira,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,1.2495069860476548E7,3,1f8d49,Floresta,Formação Florestal,Juruá-Tefé,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,37.54094663085936,4,7dc975,Floresta,Formação Savânica,Juruá-Tefé,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,2328732.746525522,6,007785,Floresta,Floresta Alagável,Juruá-Tefé,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,28441.898842212293,11,519799,Vegetação Herbácea e Arbustiva,Campo Alagado e Área Pantanosa,Juruá-Tefé,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_4,440.360914953612,12,d6bc74,Vegetação Herbácea e Arbustiva,Formação Campestre,Juruá-Tefé,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_5,25091.79858982561,15,edde8e,Agropecuária,Pastagem,Juruá-Tefé,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_6,1328.6476437072765,24,d4271e,Área não Vegetada,Área Urbanizada,Juruá-Tefé,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_7,2661.073531262212,25,db4d4f,Área não Vegetada,Outras Áreas não Vegetadas,Juruá-Tefé,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_8,361834.72737677995,33,2532e4,Corpo D'água,"Rio, Lago e Oceano",Juruá-Tefé,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,3254012.556560769,3,1f8d49,Floresta,Formação Florestal,Macapá,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1,1048.9430067016597,4,7dc975,Floresta,Formação Savânica,Macapá,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_2,93871.5676585799,5,04381d,Floresta,Mangue,Macapá,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_3,658045.8270245694,6,007785,Floresta,Floresta Alagável,Macapá,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_4,883.4524041137682,9,7a5900,Agropecuária,Silvicultura,Macapá,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_5,1553013.4612482563,11,519799,Vegetação Herbácea e Arbustiva,Campo Alagado e Área Pantanosa,Macapá,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_6,18702.367126501562,12,d6bc74,Vegetação Herbácea e Arbustiva,Formação Campestre,Macapá,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_7,25025.439357837044,15,edde8e,Agropecuária,Pastagem,Macapá,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_8,6763.470082305031,24,d4271e,Área não Vegetada,Área Urbanizada,Macapá,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_9,4148.358594701975,25,db4d4f,Área não Vegetada,Outras Áreas não Vegetadas,Macapá,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_10,0.62539072265625,29,ffaa5f,Vegetação Herbácea e Arbustiva,Afloramento Rochoso,Macapá,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_11,55.06493512573239,30,9c0027,Área não Vegetada,Mineração,Macapá,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_12,70.96070594482421,31,091077,Corpo D'água,Aquicultura,Macapá,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_13,319198.3139475079,33,2532e4,Corpo D'água,"Rio, Lago e Oceano",Macapá,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_14,19.127624896240228,41,f54ca9,Agropecuária,Outras Lavouras Temporárias,Macapá,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,3371336.144991716,3,1f8d49,Floresta,Formação Florestal,Portel,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_1,40.376182562255835,4,7dc975,Floresta,Formação Savânica,Portel,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_2,780015.6348802687,6,007785,Floresta,Floresta Alagável,Portel,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_3,45085.92358015223,11,519799,Vegetação Herbácea e Arbustiva,Campo Alagado e Área Pantanosa,Portel,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_4,1407.4723472656242,12,d6bc74,Vegetação Herbácea e Arbustiva,Formação Campestre,Portel,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_5,12806.109085437063,15,edde8e,Agropecuária,Pastagem,Portel,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_6,321.6303340515133,24,d4271e,Área não Vegetada,Área Urbanizada,Portel,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_7,401.43628513794175,25,db4d4f,Área não Vegetada,Outras Áreas não Vegetadas,Portel,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_8,2.056057141113281,31,091077,Corpo D'água,Aquicultura,Portel,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_9,297824.34974706365,33,2532e4,Corpo D'água,"Rio, Lago e Oceano",Portel,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_10,125.50119732055585,35,9065d0,Agropecuária,Dendê,Portel,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,3448106.34074895,3,1f8d49,Floresta,Formação Florestal,Rio Branco-Brasiléia,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_1,163.0035947082519,4,7dc975,Floresta,Formação Savânica,Rio Branco-Brasiléia,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_2,14571.345041271945,6,007785,Floresta,Floresta Alagável,Rio Branco-Brasiléia,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_3,1028.8203428283682,11,519799,Vegetação Herbácea e Arbustiva,Campo Alagado e Área Pantanosa,Rio Branco-Brasiléia,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_4,2075.8239936706536,12,d6bc74,Vegetação Herbácea e Arbustiva,Formação Campestre,Rio Branco-Brasiléia,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_5,316178.7809214414,15,edde8e,Agropecuária,Pastagem,Rio Branco-Brasiléia,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_6,3757.6778105530443,24,d4271e,Área não Vegetada,Área Urbanizada,Rio Branco-Brasiléia,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_7,17856.11067908917,25,db4d4f,Área não Vegetada,Outras Áreas não Vegetadas,Rio Branco-Brasiléia,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_8,7673.973600195312,33,2532e4,Corpo D'água,"Rio, Lago e Oceano",Rio Branco-Brasiléia,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,873295.4668634676,3,1f8d49,Floresta,Formação Florestal,Salgado-Bragantino,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_1,49.25487889404322,4,7dc975,Floresta,Formação Savânica,Salgado-Bragantino,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_2,163121.26556021612,5,04381d,Floresta,Mangue,Salgado-Bragantino,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_3,124992.11918117694,6,007785,Floresta,Floresta Alagável,Salgado-Bragantino,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_4,23808.29808791401,11,519799,Vegetação Herbácea e Arbustiva,Campo Alagado e Área Pantanosa,Salgado-Bragantino,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_5,7163.398362310842,12,d6bc74,Vegetação Herbácea e Arbustiva,Formação Campestre,Salgado-Bragantino,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_6,102528.08186470722,15,edde8e,Agropecuária,Pastagem,Salgado-Bragantino,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_7,1069.3099411682128,23,ffa07a,Área não Vegetada,"Praia, Duna e Areal",Salgado-Bragantino,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_8,6871.007107849094,24,d4271e,Área não Vegetada,Área Urbanizada,Salgado-Bragantino,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
