system:index,area_ha,classe,nome,prodes,territory,year,.geo
0_0_0,2167869.0003849478,7,Altamira,2007,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,83386.04066387605,8,Altamira,2008,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,73220.51314026187,9,Altamira,2009,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,74795.89980906899,10,Altamira,2010,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,92990.29570108054,11,Altamira,2011,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,38441.8266798271,12,Altamira,2012,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,48685.714631850664,13,Altamira,2013,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,49046.733037082035,14,Altamira,2014,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_8,75745.91985029283,15,Altamira,2015,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_9,79239.85271573605,16,Altamira,2016,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_10,84116.41739501744,17,Altamira,2017,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_11,83346.30639164301,18,Altamira,2018,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_12,173302.46979759177,19,Altamira,2019,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_13,153857.93086497812,20,Altamira,2020,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_14,154002.92001902362,21,Altamira,2021,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_15,138637.13497871524,22,Altamira,2022,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_16,88720.82263007357,23,Altamira,2023,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_17,51572.58662783812,24,Altamira,2024,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_18,2683.0302374366765,50,Altamira,2010,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_19,714.3662271377557,51,Altamira,2011,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_20,422.8669944625846,52,Altamira,2012,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_21,687.4269247261035,53,Altamira,2013,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_22,606.987076394653,54,Altamira,2014,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_23,8845.197975172427,55,Altamira,2015,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_24,1630.221261979679,56,Altamira,2016,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_25,270.27052168045003,57,Altamira,2017,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_26,496.15173691482573,58,Altamira,2018,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_27,3376.305365135192,59,Altamira,2019,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_28,974.662500975035,60,Altamira,2020,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_29,733.9817873847961,61,Altamira,2021,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_30,561.1100067070039,62,Altamira,2022,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_31,737.8857252235421,63,Altamira,2023,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_32,3804.826917456052,64,Altamira,2024,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_33,238283.29418345186,91,Altamira,Hidrografia,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_34,1.8257540978134837E7,100,Altamira,Vegetação Nativa,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_35,386310.92957653187,101,Altamira,Não Floresta,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,285333.9258429685,7,Juruá-Tefé,2007,2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,5222.39399252776,8,Juruá-Tefé,2008,2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,2055.1295691391033,9,Juruá-Tefé,2009,2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,5426.331465871431,10,Juruá-Tefé,2010,2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_4,2885.200498186494,11,Juruá-Tefé,2011,2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_5,2695.3134932067846,12,Juruá-Tefé,2012,2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_6,2252.568929981992,13,Juruá-Tefé,2013,2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_7,5223.877348427567,14,Juruá-Tefé,2014,2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_8,1887.5016518127447,15,Juruá-Tefé,2015,2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_9,3642.3529831932033,16,Juruá-Tefé,2016,2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_10,2885.728325791168,17,Juruá-Tefé,2017,2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_11,5736.130450444788,18,Juruá-Tefé,2018,2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_12,5777.28085513916,19,Juruá-Tefé,2019,2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_13,6421.595199313338,20,Juruá-Tefé,2020,2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_14,8635.778562945537,21,Juruá-Tefé,2021,2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_15,8897.234283313743,22,Juruá-Tefé,2022,2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_16,6684.228302898408,23,Juruá-Tefé,2023,2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_17,6698.759915421283,24,Juruá-Tefé,2024,2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_18,541.5070404922496,50,Juruá-Tefé,2010,2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_19,62.1364107894896,51,Juruá-Tefé,2011,2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_20,58.682503916931154,52,Juruá-Tefé,2012,2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_21,119.29997264251702,53,Juruá-Tefé,2013,2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_22,161.13297891998323,54,Juruá-Tefé,2014,2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_23,1986.9365741455074,55,Juruá-Tefé,2015,2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_24,406.24292684631354,56,Juruá-Tefé,2016,2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_25,89.52075238800062,57,Juruá-Tefé,2017,2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_26,138.76408621978752,58,Juruá-Tefé,2018,2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_27,196.79164947280884,59,Juruá-Tefé,2019,2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_28,24.74588641128547,60,Juruá-Tefé,2020,2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_29,74.40411268920896,61,Juruá-Tefé,2021,2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
