Código do Município;Ano;Mês;Estoque;Admissões;Desligamentos;Saldos
110001;2020;1;1909;59;71;-12
110002;2020;1;16189;576;631;-55
110003;2020;1;539;37;8;29
110004;2020;1;15828;737;816;-79
110005;2020;1;1862;140;59;81
110006;2020;1;1885;41;70;-29
110007;2020;1;1005;76;44;32
110008;2020;1;561;9;5;4
110009;2020;1;4028;154;173;-19
110010;2020;1;2930;70;81;-11
110011;2020;1;9339;333;385;-52
110012;2020;1;26418;1036;1074;-38
110013;2020;1;2304;94;112;-18
110014;2020;1;1035;24;36;-12
110015;2020;1;4685;172;188;-16
110018;2020;1;8680;393;351;42
110020;2020;1;85004;2155;2622;-467
110025;2020;1;2033;144;89;55
110026;2020;1;454;17;5;12
110028;2020;1;10327;454;375;79
110029;2020;1;586;9;12;-3
110030;2020;1;19875;1020;777;243
110032;2020;1;2487;64;68;-4
110033;2020;1;990;27;38;-11
110034;2020;1;794;12;34;-22
110037;2020;1;546;17;18;-1
110040;2020;1;1193;59;36;23
110045;2020;1;2455;90;101;-11
110050;2020;1;575;8;8;0
110060;2020;1;252;5;2;3
110070;2020;1;425;20;10;10
110080;2020;1;1921;56;50;6
110090;2020;1;314;7;4;3
110092;2020;1;2502;109;46;63
110094;2020;1;936;26;35;-9
110100;2020;1;493;9;6;3
110110;2020;1;849;17;27;-10
110120;2020;1;514;9;19;-10
110130;2020;1;922;30;27;3
110140;2020;1;711;13;21;-8
110143;2020;1;303;3;5;-2
110145;2020;1;516;12;15;-3
110146;2020;1;401;50;31;19
110147;2020;1;85;4;1;3
110148;2020;1;318;11;8;3
110149;2020;1;1036;50;26;24
110150;2020;1;620;25;16;9
110155;2020;1;249;8;4;4
110160;2020;1;968;11;13;-2
110170;2020;1;1043;38;18;20
110175;2020;1;332;7;9;-2
110180;2020;1;332;13;13;0
120001;2020;1;1028;22;13;9
120005;2020;1;339;8;9;-1
120010;2020;1;1262;46;58;-12
120013;2020;1;926;30;6;24
120017;2020;1;618;8;0;8
120020;2020;1;6484;185;384;-199
120025;2020;1;1881;35;28;7
120030;2020;1;970;12;16;-4
120032;2020;1;679;1;0;1
120033;2020;1;264;6;11;-5
120034;2020;1;254;1;4;-3
120035;2020;1;61;0;0;0
120038;2020;1;809;16;95;-79
120039;2020;1;423;16;0;16
120040;2020;1;56824;2013;1685;328
120042;2020;1;67;2;0;2
120043;2020;1;29;2;1;1
120045;2020;1;1557;36;29;7
120050;2020;1;1899;74;30;44
120060;2020;1;986;31;17;14
120070;2020;1;729;32;9;23
120080;2020;1;571;7;1;6
130002;2020;1;85;0;1;-1
130006;2020;1;18;0;0;0
130008;2020;1;22;0;0;0
130010;2020;1;536;5;1;4
130014;2020;1;515;12;6;6
130020;2020;1;56;0;0;0
130030;2020;1;314;13;17;-4
130040;2020;1;196;5;0;5
130050;2020;1;266;12;1;11
130060;2020;1;1188;1;4;-3
130063;2020;1;30;0;1;-1
130068;2020;1;79;0;1;-1
130070;2020;1;1974;30;17;13
130080;2020;1;159;4;22;-18
130083;2020;1;18;0;0;0
130090;2020;1;76;0;0;0
130100;2020;1;254;0;2;-2
130110;2020;1;459;9;3;6
130115;2020;1;19;1;0;1
130120;2020;1;2158;17;41;-24
130130;2020;1;173;1;10;-9
130140;2020;1;561;23;2;21
130150;2020;1;71;2;2;0
130160;2020;1;64;0;1;-1
130165;2020;1;61;0;1;-1
130170;2020;1;2595;76;55;21
130180;2020;1;43;0;4;-4
130185;2020;1;2584;26;62;-36
130190;2020;1;5002;151;157;-6
130195;2020;1;32;0;0;0
130200;2020;1;31;0;0;0
130210;2020;1;697;3;0;3
130220;2020;1;42;1;1;0
130230;2020;1;65;0;2;-2
130240;2020;1;659;4;3;1
130250;2020;1;3309;82;55;27
130255;2020;1;79;0;2;-2
130260;2020;1;372842;12322;11448;874
130270;2020;1;1765;20;16;4
130280;2020;1;17;2;1;1
130290;2020;1;719;28;24;4
130300;2020;1;90;1;0;1
130310;2020;1;296;19;11;8
130320;2020;1;750;6;5;1
130330;2020;1;121;2;1;1
130340;2020;1;3113;90;84;6
130350;2020;1;42;0;2;-2
130353;2020;1;3092;124;104;20
130356;2020;1;900;12;23;-11
130360;2020;1;38;0;1;-1
130370;2020;1;184;1;0;1
130380;2020;1;308;19;17;2
130390;2020;1;161;4;0;4
130395;2020;1;41;7;2;5
130400;2020;1;0;2;0;2
130406;2020;1;4302;45;48;-3
130410;2020;1;25;0;1;-1
130420;2020;1;1974;37;53;-16
130423;2020;1;41;3;1;2
130426;2020;1;41;1;1;0
130430;2020;1;88;0;1;-1
130440;2020;1;67;0;4;-4
140002;2020;1;258;4;3;1
140005;2020;1;199;5;11;-6
140010;2020;1;51573;1799;1448;351
140015;2020;1;620;4;21;-17
140017;2020;1;369;18;15;3
140020;2020;1;1096;4;7;-3
140023;2020;1;152;1;2;-1
140028;2020;1;89;1;3;-2
140030;2020;1;366;7;11;-4
140040;2020;1;75;0;2;-2
140045;2020;1;717;20;13;7
140047;2020;1;1062;5;16;-11
140050;2020;1;350;11;13;-2
140060;2020;1;189;4;1;3
140070;2020;1;13;0;0;0
150010;2020;1;5204;114;170;-56
150013;2020;1;453;15;5;10
150020;2020;1;2427;92;77;15
150030;2020;1;373;3;5;-2
150034;2020;1;1762;40;23;17
150040;2020;1;681;12;8;4
150050;2020;1;2955;33;35;-2
150060;2020;1;14575;425;871;-446
150070;2020;1;165;6;2;4
150080;2020;1;58682;1347;1283;64
150085;2020;1;1197;14;9;5
150090;2020;1;1748;2;4;-2
150095;2020;1;404;7;15;-8
150100;2020;1;72;1;7;-6
150110;2020;1;95;1;1;0
150120;2020;1;237;2;0;2
150125;2020;1;502;20;18;2
150130;2020;1;21205;587;908;-321
150140;2020;1;251714;7237;6455;782
150145;2020;1;1170;21;13;8
150150;2020;1;9433;209;315;-106
150157;2020;1;676;12;7;5
150160;2020;1;1306;52;102;-50
150170;2020;1;4459;101;115;-14
150172;2020;1;789;15;12;3
150175;2020;1;547;2;1;1
150178;2020;1;2069;79;52;27
150180;2020;1;4832;38;34;4
150190;2020;1;303;3;2;1
150195;2020;1;155;5;7;-2
150200;2020;1;151;3;8;-5
150210;2020;1;3284;12;29;-17
150215;2020;1;13878;528;308;220
150220;2020;1;6927;199;149;50
150230;2020;1;2082;53;44;9
150240;2020;1;27871;619;894;-275
150250;2020;1;297;0;3;-3
150260;2020;1;84;0;2;-2
150270;2020;1;3790;64;88;-24
150275;2020;1;1658;57;35;22
150276;2020;1;1444;58;44;14
150277;2020;1;3639;32;106;-74
150280;2020;1;52;3;0;3
150285;2020;1;1006;0;0;0
150290;2020;1;512;10;2;8
150293;2020;1;3323;161;113;48
150295;2020;1;1034;32;35;-3
150300;2020;1;78;0;0;0
150304;2020;1;537;27;17;10
150307;2020;1;650;3;7;-4
150309;2020;1;1279;68;43;25
150310;2020;1;1200;0;0;0
150320;2020;1;1454;25;25;0
150330;2020;1;918;15;34;-19
150340;2020;1;735;20;12;8
150345;2020;1;1758;24;37;-13
150350;2020;1;481;7;6;1
150360;2020;1;11326;402;281;121
150370;2020;1;1416;34;106;-72
150375;2020;1;269;17;10;7
150380;2020;1;2940;53;51;2
150390;2020;1;2288;50;53;-3
