territorio_id,territorio_nome,cod_municipio,municipio_nome,sigla_uf,ano,fonte,tema,indicador,valor,cor_ou_raca,sexo,grupo_de_idade,situacao,nacionalidade,grupo_de_unidade_de_conservacao,lugar,pais
5,Rio Branco-Brasiléia,1200013,Acrelândia ,AC,,Censo 2022,Situação do domicílio,populacao_pessoas,7765,,,,Urbana,,,,
5,Rio Branco-Brasiléia,1200013,Acrelândia ,AC,,Censo 2022,Situação do domicílio,percentual,"55,38",,,,Urbana,,,,
5,Rio Branco-Brasiléia,1200013,Acrelândia ,AC,,Censo 2022,Situação do domicílio,populacao_pessoas,6256,,,,Rural,,,,
5,Rio Branco-Brasiléia,1200013,Acrelândia ,AC,,Censo 2022,Situação do domicílio,percentual,"44,62",,,,Rural,,,,
1,Altamira,1500602,Altamira ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,104202,,,,Urbana,,,,
1,Altamira,1500602,Altamira ,PA,,Censo 2022,Situação do domicílio,percentual,"82,52",,,,Urbana,,,,
1,Altamira,1500602,Altamira ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,22077,,,,Rural,,,,
1,Altamira,1500602,Altamira ,PA,,Censo 2022,Situação do domicílio,percentual,"17,48",,,,Rural,,,,
4,Juruá-Tefé,1300029,Alvarães ,AM,,Censo 2022,Situação do domicílio,populacao_pessoas,8730,,,,Urbana,,,,
4,Juruá-Tefé,1300029,Alvarães ,AM,,Censo 2022,Situação do domicílio,percentual,"55,02",,,,Urbana,,,,
4,Juruá-Tefé,1300029,Alvarães ,AM,,Censo 2022,Situação do domicílio,populacao_pessoas,7136,,,,Rural,,,,
4,Juruá-Tefé,1300029,Alvarães ,AM,,Censo 2022,Situação do domicílio,percentual,"44,98",,,,Rural,,,,
1,Altamira,1500859,Anapu ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,15840,,,,Urbana,,,,
1,Altamira,1500859,Anapu ,PA,,Censo 2022,Situação do domicílio,percentual,"49,73",,,,Urbana,,,,
1,Altamira,1500859,Anapu ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,16010,,,,Rural,,,,
1,Altamira,1500859,Anapu ,PA,,Censo 2022,Situação do domicílio,percentual,"50,27",,,,Rural,,,,
5,Rio Branco-Brasiléia,1200054,Assis Brasil ,AC,,Censo 2022,Situação do domicílio,populacao_pessoas,4818,,,,Urbana,,,,
5,Rio Branco-Brasiléia,1200054,Assis Brasil ,AC,,Censo 2022,Situação do domicílio,percentual,"59,48",,,,Urbana,,,,
5,Rio Branco-Brasiléia,1200054,Assis Brasil ,AC,,Censo 2022,Situação do domicílio,populacao_pessoas,3282,,,,Rural,,,,
5,Rio Branco-Brasiléia,1200054,Assis Brasil ,AC,,Censo 2022,Situação do domicílio,percentual,"40,52",,,,Rural,,,,
6,Salgado-Bragantino,1500909,Augusto Corrêa ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,22944,,,,Urbana,,,,
6,Salgado-Bragantino,1500909,Augusto Corrêa ,PA,,Censo 2022,Situação do domicílio,percentual,"51,48",,,,Urbana,,,,
6,Salgado-Bragantino,1500909,Augusto Corrêa ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,21629,,,,Rural,,,,
6,Salgado-Bragantino,1500909,Augusto Corrêa ,PA,,Censo 2022,Situação do domicílio,percentual,"48,52",,,,Rural,,,,
3,Portel,1501105,Bagre ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,13003,,,,Urbana,,,,
3,Portel,1501105,Bagre ,PA,,Censo 2022,Situação do domicílio,percentual,"40,77",,,,Urbana,,,,
3,Portel,1501105,Bagre ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,18889,,,,Rural,,,,
3,Portel,1501105,Bagre ,PA,,Censo 2022,Situação do domicílio,percentual,"59,23",,,,Rural,,,,
6,Salgado-Bragantino,1501600,Bonito ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,6925,,,,Urbana,,,,
6,Salgado-Bragantino,1501600,Bonito ,PA,,Censo 2022,Situação do domicílio,percentual,"54,86",,,,Urbana,,,,
6,Salgado-Bragantino,1501600,Bonito ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,5697,,,,Rural,,,,
6,Salgado-Bragantino,1501600,Bonito ,PA,,Censo 2022,Situação do domicílio,percentual,"45,14",,,,Rural,,,,
6,Salgado-Bragantino,1501709,Bragança ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,87608,,,,Urbana,,,,
6,Salgado-Bragantino,1501709,Bragança ,PA,,Censo 2022,Situação do domicílio,percentual,"71,18",,,,Urbana,,,,
6,Salgado-Bragantino,1501709,Bragança ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,35474,,,,Rural,,,,
6,Salgado-Bragantino,1501709,Bragança ,PA,,Censo 2022,Situação do domicílio,percentual,"28,82",,,,Rural,,,,
1,Altamira,1501725,Brasil Novo ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,13404,,,,Urbana,,,,
1,Altamira,1501725,Brasil Novo ,PA,,Censo 2022,Situação do domicílio,percentual,"54,23",,,,Urbana,,,,
1,Altamira,1501725,Brasil Novo ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,11314,,,,Rural,,,,
